Tag_Full,Value_String,Timestamp,DataType,Value_Numeric,Reason_No_Data
CH-ML:DDGSbuilding.Percent.Balling,6.510000229,2023-03-23T21:00:00.000Z,Numeric,6.510000229,
CH-ML:DDGSbuilding.Percent.Balling,4,2023-03-24T07:00:00.000Z,Numeric,4.0,
CH-ML:DDGSbuilding.Percent.Balling,4.099999905,2023-03-24T19:00:00.000Z,Numeric,4.099999905,
CH-ML:DDGSbuilding.Percent.Balling,3,2023-03-25T08:00:00.000Z,Numeric,3.0,
CH-ML:DDGSbuilding.Percent.Balling,3.200000048,2023-03-25T19:00:00.000Z,Numeric,3.200000048,
CH-ML:DDGSbuilding.Percent.Balling,5,2023-03-26T09:00:00.000Z,Numeric,5.0,
CH-ML:DDGSbuilding.Percent.Balling,3.700000048,2023-03-26T19:00:00.000Z,Numeric,3.700000048,
CH-ML:DDGSbuilding.Percent.Balling,7.309999943,2023-03-27T07:00:00.000Z,Numeric,7.309999943,
CH-ML:DDGSbuilding.Percent.Balling,6,2023-03-27T22:00:00.000Z,Numeric,6.0,
CH-ML:DDGSbuilding.Percent.Balling,6.849999905,2023-03-28T11:00:00.000Z,Numeric,6.849999905,
CH-ML:DDGSbuilding.Percent.Balling,12.69999981,2023-03-29T10:00:00.000Z,Numeric,12.69999981,
CH-ML:DDGSbuilding.Percent.Balling,3.900000095,2023-03-30T07:00:00.000Z,Numeric,3.900000095,
CH-ML:DDGSbuilding.Percent.Balling,4.400000095,2023-03-31T07:00:00.000Z,Numeric,4.400000095,
CH-ML:DDGSbuilding.Percent.Balling,5.199999809,2023-04-01T07:00:00.000Z,Numeric,5.199999809,
CH-ML:DDGSbuilding.Percent.Balling,4.079999924,2023-04-01T22:00:00.000Z,Numeric,4.079999924,
CH-ML:DDGSbuilding.Percent.Balling,2,2023-04-02T07:00:00.000Z,Numeric,2.0,
CH-ML:DDGSbuilding.Percent.Balling,3,2023-04-03T19:00:00.000Z,Numeric,3.0,
CH-ML:DDGSbuilding.Percent.Balling,2.460000038,2023-04-05T19:00:00.000Z,Numeric,2.460000038,
CH-ML:DDGSbuilding.Percent.Balling,3.779999971,2023-04-06T11:00:00.000Z,Numeric,3.779999971,
CH-ML:DDGSbuilding.Percent.Balling,5.179999828,2023-04-07T08:00:00.000Z,Numeric,5.179999828,
CH-ML:DDGSbuilding.Percent.Balling,4.989999771,2023-04-08T08:00:00.000Z,Numeric,4.989999771,
CH-ML:DDGSbuilding.Percent.Balling,3.670000076,2023-04-09T10:00:00.000Z,Numeric,3.670000076,
CH-ML:DDGSbuilding.Percent.Balling,4.110000134,2023-04-10T09:00:00.000Z,Numeric,4.110000134,
CH-ML:DDGSbuilding.Percent.Balling,2.700000048,2023-04-10T19:00:00.000Z,Numeric,2.700000048,
CH-ML:DDGSbuilding.Percent.Balling,7.809999943,2023-04-28T20:00:00.000Z,Numeric,7.809999943,
CH-ML:DDGSbuilding.Percent.Balling,1.409999967,2023-04-30T02:00:00.000Z,Numeric,1.409999967,
CH-ML:DDGSbuilding.Percent.Balling,8.840000153,2023-04-30T23:00:00.000Z,Numeric,8.840000153,
CH-ML:DDGSbuilding.Percent.Balling,1.700000048,2023-05-01T09:00:00.000Z,Numeric,1.700000048,
CH-ML:DDGSbuilding.Percent.Balling,1.5,2023-05-01T21:00:00.000Z,Numeric,1.5,
CH-ML:DDGSbuilding.Percent.Balling,2.599999905,2023-05-02T19:00:00.000Z,Numeric,2.599999905,
CH-ML:DDGSbuilding.Percent.Balling,14.5,2023-05-03T20:00:00.000Z,Numeric,14.5,
CH-ML:DDGSbuilding.Percent.Balling,19.5,2023-05-04T10:00:00.000Z,Numeric,19.5,
CH-ML:DDGSbuilding.Percent.Balling,3,2023-05-04T23:00:00.000Z,Numeric,3.0,
CH-ML:DDGSbuilding.Percent.Balling,6.909999847,2023-05-05T11:00:00.000Z,Numeric,6.909999847,
CH-ML:DDGSbuilding.Percent.Balling,2.799999952,2023-05-05T20:30:00.000Z,Numeric,2.799999952,
CH-ML:DDGSbuilding.Percent.Balling,5.210000038,2023-05-06T09:00:00.000Z,Numeric,5.210000038,
CH-ML:DDGSbuilding.Percent.Balling,3.200000048,2023-05-06T20:30:00.000Z,Numeric,3.200000048,
CH-ML:DDGSbuilding.Percent.Balling,5.400000095,2023-05-07T11:00:00.000Z,Numeric,5.400000095,
CH-ML:DDGSbuilding.Percent.Balling,4.599999905,2023-05-07T20:30:00.000Z,Numeric,4.599999905,
