Asset,Description,Location,IsProblematic,Preventative Maintenance,Plant Area,Parent,YTD Direct Costs,YTD Rolled Costs,Life Direct Costs,UniqueLocation,Life Rolled Costs
1451,"CYCLONE ASSEMBLY, MILLPRO INDUSTRIES, MODEL 1H47",CY-1824,No,,DRYER A,,4464.96,"$4,464.96",62360.41,1,"$62,360.41"
2533,"CYCLONE ASSEMBLY, RIGHT HAND, DEDERT MODEL# CYCL-11 A",CY-1826,No,,DRYER A,,0,$0.00,1539.84,1,"$1,539.84"
2534,"CYCLONE ASSEMBLY, RIGHT HAND, DEDERT MODEL# CYCL-11 B",CY-1827,No,,DRYER A,,0,$0.00,427.5,1,$427.50
2535,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL #CYCL-12 A",CY-1828,No,,DRYER A,,0,$0.00,180,1,$180.00
2536,"CYCLONE ASSEMBLY, LEFT HAND, DEDERT MODEL# CYCL-12 B",CY-1829,No,,DRYER A,,0,$0.00,1215,1,"$1,215.00"
1456,DDGS COOLING BAG HOUSE DUST COLLECTOR,DC-1802,No,,DDG,,6292,"$6,292.00",484401.37,1,"$484,401.37"
2538,FIKE FLAMELESS VENT - E34-004-3636,DC-1834,Yes,,DRYER A,6996,0,$0.00,0,1,$0.00
2539,FIKE FLAMELESS VENT - E34-004-3636,DC-1834,Yes,,DRYER A,6996,0,$0.00,0,0,$0.00
6996,"DUST COLLECTOR, IMF, MODEL XXX",DC-1834,Yes,,DRYER A,,0,$0.00,0,0,$0.00
1466,"ROTARY DRYER, ICM",DR-1801D,No,,DRYER D,,51860.39,"$52,078.39",799936.34,1,"$842,765.04"
1597,DR-1801D BURNER MANAGEMENT SYSTEM,DR-1801D,No,,DRYER D,1466,218,$218.00,42828.7,0,"$42,828.70"
7011,"GEARBOX, DORRIS, 415TR25, SER# 31396 or SER#27639",DR-1801D,No,,DRYER D,1466,0,$0.00,0,0,$0.00
2541,SWISS COMBI ROTARY DRYER DRUM,DR-1826,No,,DRYER A,,0,$0.00,1038184.34,1,"$1,057,239.82"
2542,SEW GEARBOX - LEFT HAND DRIVE -,DR-1826,No,,DRYER A,2553,0,$0.00,0,0,$0.00
2543,SEW GEARBOX - LEFT HAND DRIVE,DR-1826,No,,DRYER A,2555,0,$0.00,0,0,$0.00
2544,SEW GEARBOX - RIGHT HAND DRIVE,DR-1826,No,,DRYER A,2554,0,$0.00,0,0,$0.00
2545,SEW GEARBOX - RIGHT HAND DRIVE,DR-1826,No,,DRYER A,2556,0,$0.00,0,0,$0.00
2547,MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC,DR-1826,No,,DRYER A,2553,0,$0.00,0,0,$0.00
2549,MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC,DR-1826,No,,DRYER A,2554,0,$0.00,0,0,$0.00
2550,MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC,DR-1826,No,,DRYER A,2555,0,$0.00,0,0,$0.00
2552,MOTOR / 25HP / 1800RPM / TEFC / 575V/3PH/60HZ / FRAME# 284TC,DR-1826,No,,DRYER A,2556,0,$0.00,0,0,$0.00
2553,TRUNNION (A) - LEFT HAND DRIVE,DR-1826,No,,DRYER A,2541,0,$0.00,125,0,$125.00
2554,TRUNNION (B)- RIGHT HAND DRIVE,DR-1826,No,,DRYER A,2541,0,$0.00,11181.61,0,"$11,181.61"
2555,TRUNNION (D) - LEFT HAND DRIVE,DR-1826,No,,DRYER A,2541,0,$0.00,507.5,0,$507.50
2556,TRUNNION (C) - RIGHT HAND DRIVE,DR-1826,No,,DRYER A,2541,0,$0.00,0,0,$0.00
2557,THRUST ROLLER ASSEMBLY,DR-1826,No,,DRYER A,2541,0,$0.00,1288,0,"$1,288.00"
2558,THRUST ROLLER ASSEMBLY,DR-1826,No,,DRYER A,2541,0,$0.00,0,0,$0.00
2559,TRUNNION LUBRICATION SYSTEM,DR-1826,No,,DRYER A,2541,0,$0.00,5953.37,0,"$5,953.37"
1532,Geelen Counterflow Product Cooler,E-1824,No,,DDG,,0,$0.00,32206.66,1,"$32,206.66"
2560,ecoDRY HEAT EXCHANGER,E-1825,No,,DRYER A,,0,$0.00,41698.79,1,"$41,698.79"
2561,DRYER A - DDG PRODUCT COOLER,E-1834,Yes,,DRYER A,,0,$0.00,900,1,$900.00
2562,HYDRAULIC FLUID COOLER,E-1834B,No,,DRYER A,,0,$0.00,135,1,$135.00
1534,TRULY GREEN CONDENSOR CIRCULATING EXCHANGER,E-1840A,No,,TGF,,1331.5,"$1,331.50",25851.25,1,"$25,851.25"
1535,TRULY GREEN CONDENSOR CIRCULATING EXCHANGER,E-1840B,No,,TGF,,67.5,$67.50,35475.1,1,"$35,475.10"
1536,TRULY GREEN CONDENSOR BLOWDOWN EXCHANGER,E-1841A,No,,TGF,,0,$0.00,4108.34,1,"$4,108.34"
1537,TRULY GREEN CONDENSOR BLOWDOWN EXCHANGER,E-1841B,No,,TGF,,0,$0.00,34,1,$34.00
2563,"EJECTOR, PICK, 6x75 HEATER",EJ-1837,Yes,,DRYER A,,0,$0.00,12311.9,1,"$12,311.90"
6913,"FLOW ELEMENT, FCI, MODEL 102",FE-18110A,No,,DRYER A,,0,$0.00,9,1,$9.00
